2011/10/02	54.7,0.24G
2011/10/03	52.7,0.06G
2011/10/04	54.9,0.05G
2011/10/05	62.3,0.00G
2011/10/06	57.0,0.00G
2011/10/07	56.9,0.00G
2011/10/08	63.0,0.00G
2011/10/09	70.0,0.00G
2011/10/10	71.4,0.00G
2011/10/11	68.4,0.00G
2011/10/12	61.3,0.00G
2011/10/13	60.9,0.45G
2011/10/14	66.1,0.34G
2011/10/15	59.1,0.12G
2011/10/16	59.9,0.00G
2011/10/17	61.4,0.00G
2011/10/18	60.4,0.00G
2011/10/19	60.8,0.22G
2011/10/20	62.5,0.92G
2011/10/21	53.8,0.01G
2011/10/22	52.7,0.00G
2011/10/23	53.3,0.00G
2011/10/24	55.1,0.00G
2011/10/25	56.6,0.00G
2011/10/26	55.7,0.00G
2011/10/27	53.4,0.14G
2011/10/28	41.7,0.49G
2011/10/29	39.7,0.01G
2011/10/30	37.7,2.00G
2011/10/31	44.6,0.01G
2011/11/01	49.3,0.00G
2011/11/02	48.4,0.00G
2011/11/03	51.9,0.00G
2011/11/04	51.2,0.00G
2011/11/05	42.8,0.00G
2011/11/06	45.5,0.00G
2011/11/07	51.7,0.00G
2011/11/08	59.1,0.00G
2011/11/09	57.1,0.00G
2011/11/10	58.9,0.00G
2011/11/11	46.4,0.04G
2011/11/12	46.2,0.02G
2011/11/13	53.9,0.00G
2011/11/14	59.7,0.00G
2011/11/15	63.6,0.00G
2011/11/16	57.0,0.01G
2011/11/17	48.2,0.74G
2011/11/18	40.7,0.05G
2011/11/19	43.9,0.00G
2011/11/20	54.6,0.00G
2011/11/21	54.0,0.12G
2011/11/22	47.5,0.06G
2011/11/23	47.6,1.46G
2011/11/24	43.8,0.10G
2011/11/25	52.0,0.00G
2011/11/26	56.5,0.00G
2011/11/27	55.5,0.00G
2011/11/28	62.0,0.00G
2011/11/29	60.5,0.00G
2011/11/30	50.3,0.47G
2011/12/01	43.5,0.00G
2011/12/02	45.8,0.00G
2011/12/03	42.2,0.00G
2011/12/04	47.5,0.00G
2011/12/05	52.6,0.00G
2011/12/06	58.2,0.00G
